"3682"	[14747287545000000000, "2018-05-01"]
"6043"	[1546368740000000000, "2019-02-01"]
"6647"	[7026055760000000000, "2019-04-01"]
"2895"	[3015000000000000000, "2018-02-01"]
"6270"	[1987916000000000000, "2018-12-01"]
"2878"	[26378000000000000000, "2018-02-01"]
"6547"	[7315418449247080133, "2019-06-01"]
"5560"	[3767522227973386796, "2018-05-01"]
"3587"	[1771000000000000000, "2018-05-01"]
"5249"	[5677767470000000000, "2018-08-01"]
"2565"	[2500000000000000000, "2017-12-01"]
"4941"	[2046617490000000000, "2018-07-01"]
"5536"	[200000000000000000, "2018-09-01"]
"5037"	[1065698770000000000, "2018-08-01"]
"5402"	[500000000000000000, "2018-08-01"]
"2345"	[44679249140000000000, "2017-10-01"]
"3978"	[21275347612725632642, "2018-06-01"]
"2831"	[17431715000000000000, "2018-02-01"]
"5395"	[250000000000000000, "2018-08-01"]
"6612"	[6190000000000000000, "2019-04-01"]
"6094"	[73195020000000000, "2018-11-01"]
"3689"	[4070000000000000000, "2018-05-01"]
"3389"	[25652160312389142810, "2018-04-01"]
"2688"	[58192040518279222537, "2018-01-01"]
"5756"	[30400306980000000007, "2018-09-01"]
"2568"	[150000000000000000, "2017-12-01"]
"4440"	[9760941240000000000, "2018-06-01"]
"5447"	[994000000000000000, "2018-08-01"]
"6211"	[4854857850000000000, "2018-12-01"]
"3979"	[51111920199000000000, "2018-05-01"]
"6482"	[11502316370000000000, "2019-03-01"]
"4627"	[500000000000000000, "2018-07-01"]
"2723"	[20743289803125129658, "2018-01-01"]
"2851"	[15355000000000000000, "2018-02-01"]
"2518"	[870000000000000000, "2017-12-01"]
"3597"	[4110000000000000000, "2018-05-01"]
"6025"	[6563731690000000000, "2018-10-01"]
"6650"	[460337964965120, "2019-06-01"]
"4275"	[538451000000000000, "2018-06-01"]
"4442"	[3713996440000000000, "2018-07-01"]
"5268"	[980290000000000000, "2018-08-01"]
"3558"	[23416560840000000000, "2018-05-01"]
"5590"	[1000000000000000000, "2018-09-01"]
"3650"	[900000000000000000, "2018-05-01"]
"3734"	[3343089360000000000, "2018-05-01"]
"3032"	[27900571480000000000, "2018-05-01"]
"5747"	[1000000000000000000, "2018-09-01"]
"4747"	[2342189276684296350, "2018-07-01"]
"6801"	[15473157626991936000, "2019-06-01"]
"2247"	[51896642488001976567, "2017-09-01"]
"5448"	[500000000000000000, "2018-08-01"]
"47"	[182674023323763268000, "2017-06-01"]
"3556"	[23680950395667486368, "2018-05-01"]
"4481"	[147934323228795966697, "2018-07-01"]
"2363"	[5500000000000000000, "2017-10-01"]
"4762"	[990000000000000000, "2018-07-01"]
"4610"	[7686026000000000000, "2018-07-01"]
"3713"	[26980532843738344395, "2018-05-01"]
"5362"	[59814250000000000, "2018-08-01"]
"3957"	[6941192810000000000, "2018-06-01"]
"3435"	[22933589300000000000, "2018-04-01"]
"4172"	[990559380000000000, "2018-06-01"]
"3091"	[1996006490000000000, "2018-03-01"]
"4945"	[19333220790000000000, "2018-07-01"]
"4984"	[6378292670000000000, "2018-08-01"]
"4900"	[3000000000000000000, "2018-08-01"]
"3047"	[3562282520000000000, "2018-03-01"]
"4086"	[1999517000000000000, "2018-05-01"]
"3947"	[22698571335864898526, "2018-03-01"]
"2628"	[76185828826995026514, "2018-12-01"]
"4247"	[10000000000000000000, "2018-06-01"]
"4874"	[8918400960000000000, "2018-08-01"]
